group,cat_code,cat,type,potential_points,awarded_points,building_code
MR,MRc3.2,Materials reuse - 10%,cred,1,0,6
MR,MRc4.1,Recycled content - 10% (post-consumer + 1/2 pre-consumer),cred,1,1,6
MR,MRc4.2,Recycled content - 20% (post-consumer + 1/2 pre-consumer),cred,1,0,6
MR,MRc5.1,"Regional materials - 10% extracted, processed, and manufactured regiona...",cred,1,1,6
MR,MRc5.2,"Regional materials - 20% extracted, processed, and manufactured regiona...",cred,1,0,6
MR,MRc6,Rapidly renewable materials,cred,1,0,6
MR,MRc7,Certified wood,cred,1,0,6
EQ,EQ,Indoor Environmental Quality,cat,15,11,6
EQ,EQp1,Minimum IAQ performance,prereq,0,0,6
EQ,EQp2,Environmental Tobacco Smoke (ETS) control,prereq,0,0,6
EQ,EQc1 ,Outdoor air delivery monitoring,cred,1,1,6
EQ,EQc2 ,Increased ventilation,cred,1,0,6
EQ,EQc3.1,Construction IAQ Mgmt plan - during contruction,cred,1,1,6
EQ,EQc3.2,Construction IAQ Mgmt plan - before occupancy,cred,1,0,6
EQ,EQc4.1,Low-emitting materials - adhesives and sealants,cred,1,1,6
EQ,EQc4.2,Low-emitting materials - paints and coatings,cred,1,1,6
EQ,EQc4.3,Low-emitting materials - carpet systems,cred,1,1,6
EQ,EQc4.4,Low-emitting materials - composite wood and agrifiber products,cred,1,1,6
EQ,EQc5,Indoor chemical and pollutant source control,cred,1,1,6
EQ,EQc6.1,Controllability of systems - lighting,cred,1,1,6
EQ,EQc6.2,Controllability of systems - thermal comfort,cred,1,1,6
EQ,EQc7.1 ,Thermal comfort - design,cred,1,1,6
EQ,EQc7.2,Thermal comfort - verification,cred,1,1,6
EQ,EQc8.1 ,Daylight and views - daylight 75% of spaces,cred,1,0,6
EQ,EQc8.2,Daylight and views - daylight 90% of spaces,cred,1,0,6
ID,ID,Innovation,cat,6,5,6
ID,IDc1,Innovation in design,cred,4,4,6
ID,IDc2,LEED Accredited Professional,cred,1,1,6
TO,TO,Total,cat,69,40,6
SS,SS,Sustainable sites,cat,14,10,5
SS,SSp1,Construction activity pollution prevention,prereq,0,0,5
SS,SSc1,Site selection,cred,1,1,5
SS,SSc2,Development density and community connectivity ,cred,1,1,5
SS,SSc3,Brownfield redevelopment,cred,1,1,5
SS,SSc4.1,Alternative transportation - public transportation access,cred,1,1,5
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,1,5
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,1,1,5
SS,SSc4.4,Alternative transportation - parking capacity,cred,1,1,5
SS,SSc5.1,Site development - protect or restore habitat,cred,1,0,5
SS,SSc5.2,Site development - maximize open space,cred,1,1,5
SS,SSc6.1,Stormwater design - quantity control,cred,1,1,5
SS,SSc6.2,Stormwater design - quality control,cred,1,1,5
SS,SSc7.1,Heat island effect - non-roof,cred,1,0,5
SS,SSc7.2,Heat island effect - roof,cred,1,0,5
SS,SSc8,Light pollution reduction,cred,1,0,5
WE,WE,Water Efficiency,cat,5,2,5
WE,WEc1.1,Water efficient landscaping - reduce by 50%,cred,1,0,5
WE,WEc1.2,Water efficient landscaping - no potable water use or no irrigation,cred,1,0,5
WE,WEc2,Innovative wastewater technologies,cred,1,0,5
WE,WEc3.1,Water use reduction - 20% reduction,cred,1,1,5
WE,WEc3.2,Water use reduction - 30% reduction,cred,1,1,5
EA,EA,Energy and atmosphere,cat,17,4,5
EA,EAp1,Fundamental commissioning of the building energy systems,prereq,0,0,5
EA,EAp2,Minimum energy performance,prereq,0,0,5
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,5
EA,EAc1,Optimize energy performance,cred,10,2,5
EA,EAc2,On-site renewable energy,cred,3,0,5
EA,EAc3,Enhanced commissioning,cred,1,1,5
EA,EAc4,Enhaned refrigerant Mgmt,cred,1,0,5
EA,EAc5,Measurement and verification,cred,1,0,5
EA,EAc6,Green power,cred,1,1,5
MR,MR,Material and Resources,cat,13,7,5
MR,MRp1,Storage and collection of recyclables,prereq,0,0,5
MR,MRc1.1,"Bulding reuse - maintain 75% of existing walls, floors, and roof",cred,1,0,5
MR,MRc1.2,"Building reuse - maintain 95% of existing walls, floors, and roof",cred,1,0,5
MR,MRc1.3,Building reuse - maintain 50% of interior non-structural elements,cred,1,0,5
MR,MRc2.1,Construction waste Mgmt - divert 50% from disposal,cred,1,1,5
MR,MRc2.2,Construction waste Mgmt - divert 75% from disposal,cred,1,1,5
MR,MRc3.1,Materials reuse - 5%,cred,1,0,5
MR,MRc3.2,Materials reuse - 10%,cred,1,0,5
MR,MRc4.1,Recycled content - 10% (post-consumer + 1/2 pre-consumer),cred,1,2,5
MR,MRc4.2,Recycled content - 20% (post-consumer + 1/2 pre-consumer),cred,1,0,5
MR,MRc5.1,"Regional materials - 10% extracted, processed, and manufactured regiona...",cred,1,1,5
MR,MRc5.2,"Regional materials - 20% extracted, processed, and manufactured regiona...",cred,1,1,5
MR,MRc6,Rapidly renewable materials,cred,1,0,5
MR,MRc7,Certified wood,cred,1,1,5
EQ,EQ,Indoor Environmental Quality,cat,15,11,5
EQ,EQp1,Minimum IAQ performance,prereq,0,0,5
EQ,EQp2,Environmental Tobacco Smoke (ETS) control,prereq,0,0,5
EQ,EQc1 ,Outdoor air delivery monitoring,cred,1,1,5
EQ,EQc2 ,Increased ventilation,cred,1,0,5
EQ,EQc3.1,Construction IAQ Mgmt plan - during contruction,cred,1,1,5
EQ,EQc3.2,Construction IAQ Mgmt plan - before occupancy,cred,1,1,5
EQ,EQc4.1,Low-emitting materials - adhesives and sealants,cred,1,1,5
EQ,EQc4.2,Low-emitting materials - paints and coatings,cred,1,1,5
EQ,EQc4.3,Low-emitting materials - carpet systems,cred,1,1,5
EQ,EQc4.4,Low-emitting materials - composite wood and agrifiber products,cred,1,1,5
EQ,EQc5,Indoor chemical and pollutant source control,cred,1,0,5
EQ,EQc6.1,Controllability of systems - lighting,cred,1,1,5
EQ,EQc6.2,Controllability of systems - thermal comfort,cred,1,1,5
EQ,EQc7.1 ,Thermal comfort - design,cred,1,1,5
EQ,EQc7.2,Thermal comfort - verification,cred,1,1,5
EQ,EQc8.1 ,Daylight and views - daylight 75% of spaces,cred,1,0,5
EQ,EQc8.2,Daylight and views - daylight 90% of spaces,cred,1,0,5
ID,ID,Innovation,cat,6,5,5
ID,IDc1,Innovation in design,cred,4,4,5
ID,IDc2,LEED Accredited Professional,cred,1,1,5
TO,TO,Total,cat,69,39,5
SS,SS,Sustainable sites,cat,14,10,4
SS,SSp1,Construction activity pollution prevention,prereq,0,0,4
SS,SSc1,Site selection,cred,1,1,4
SS,SSc2,Development density and community connectivity ,cred,1,1,4
SS,SSc3,Brownfield redevelopment,cred,1,0,4
SS,SSc4.1,Alternative transportation - public transportation access,cred,1,1,4
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,1,4
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,1,1,4
SS,SSc4.4,Alternative transportation - parking capacity,cred,1,1,4
SS,SSc5.1,Site development - protect or restore habitat,cred,1,1,4
SS,SSc5.2,Site development - maximize open space,cred,1,1,4
SS,SSc6.1,Stormwater design - quantity control,cred,1,1,4
SS,SSc6.2,Stormwater design - quality control,cred,1,0,4
SS,SSc7.1,Heat island effect - non-roof,cred,1,1,4
SS,SSc7.2,Heat island effect - roof,cred,1,0,4
SS,SSc8,Light pollution reduction,cred,1,0,4
WE,WE,Water Efficiency,cat,5,4,4
WE,WEc1.1,Water efficient landscaping - reduce by 50%,cred,1,1,4
WE,WEc1.2,Water efficient landscaping - no potable water use or no irrigation,cred,1,1,4
WE,WEc2,Innovative wastewater technologies,cred,1,0,4
WE,WEc3.1,Water use reduction - 20% reduction,cred,1,1,4
WE,WEc3.2,Water use reduction - 30% reduction,cred,1,1,4
EA,EA,Energy and atmosphere,cat,17,6,4
EA,EAp1,Fundamental commissioning of the building energy systems,prereq,0,0,4
EA,EAp2,Minimum energy performance,prereq,0,0,4
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,4
EA,EAc1,Optimize energy performance,cred,10,4,4
EA,EAc2,On-site renewable energy,cred,3,0,4
EA,EAc3,Enhanced commissioning,cred,1,1,4
EA,EAc4,Enhaned refrigerant Mgmt,cred,1,0,4
EA,EAc5,Measurement and verification,cred,1,0,4
EA,EAc6,Green power,cred,1,1,4
MR,MR,Material and Resources,cat,13,7,4
MR,MRp1,Storage and collection of recyclables,prereq,0,0,4
MR,MRc1.1,"Bulding reuse - maintain 75% of existing walls, floors, and roof",cred,1,0,4
MR,MRc1.2,"Building reuse - maintain 95% of existing walls, floors, and roof",cred,1,0,4
MR,MRc1.3,Building reuse - maintain 50% of interior non-structural elements,cred,1,0,4
MR,MRc2.1,Construction waste Mgmt - divert 50% from disposal,cred,1,1,4
MR,MRc2.2,Construction waste Mgmt - divert 75% from disposal,cred,1,1,4
MR,MRc3.1,Materials reuse - 5%,cred,1,0,4
MR,MRc3.2,Materials reuse - 10%,cred,1,0,4
MR,MRc4.1,Recycled content - 10% (post-consumer + 1/2 pre-consumer),cred,1,2,4
MR,MRc4.2,Recycled content - 20% (post-consumer + 1/2 pre-consumer),cred,1,0,4
MR,MRc5.1,"Regional materials - 10% extracted, processed, and manufactured regiona...",cred,1,1,4
MR,MRc5.2,"Regional materials - 20% extracted, processed, and manufactured regiona...",cred,1,1,4
MR,MRc6,Rapidly renewable materials,cred,1,0,4
MR,MRc7,Certified wood,cred,1,1,4
EQ,EQ,Indoor Environmental Quality,cat,15,11,4
EQ,EQp1,Minimum IAQ performance,prereq,0,0,4
EQ,EQp2,Environmental Tobacco Smoke (ETS) control,prereq,0,0,4
EQ,EQc1 ,Outdoor air delivery monitoring,cred,1,1,4
EQ,EQc2 ,Increased ventilation,cred,1,0,4
EQ,EQc3.1,Construction IAQ Mgmt plan - during contruction,cred,1,1,4
EQ,EQc3.2,Construction IAQ Mgmt plan - before occupancy,cred,1,1,4
EQ,EQc4.1,Low-emitting materials - adhesives and sealants,cred,1,1,4
EQ,EQc4.2,Low-emitting materials - paints and coatings,cred,1,1,4
EQ,EQc4.3,Low-emitting materials - carpet systems,cred,1,1,4
EQ,EQc4.4,Low-emitting materials - composite wood and agrifiber products,cred,1,1,4
EQ,EQc5,Indoor chemical and pollutant source control,cred,1,0,4
EQ,EQc6.1,Controllability of systems - lighting,cred,1,1,4
EQ,EQc6.2,Controllability of systems - thermal comfort,cred,1,1,4
EQ,EQc7.1 ,Thermal comfort - design,cred,1,1,4
EQ,EQc7.2,Thermal comfort - verification,cred,1,1,4
EQ,EQc8.1 ,Daylight and views - daylight 75% of spaces,cred,1,0,4
EQ,EQc8.2,Daylight and views - daylight 90% of spaces,cred,1,0,4
ID,ID,Innovation,cat,6,4,4
ID,IDc1,Innovation in design,cred,4,3,4
ID,IDc2,LEED Accredited Professional,cred,1,1,4
TO,TO,Total,cat,69,42,4
SS,SS,Sustainable sites,cat,14,9,3
SS,SSp1,Construction activity pollution prevention,prereq,0,0,3
SS,SSc1,Site selection,cred,1,1,3
SS,SSc2,Development density and community connectivity ,cred,1,1,3
SS,SSc3,Brownfield redevelopment,cred,1,0,3
SS,SSc4.1,Alternative transportation - public transportation access,cred,1,1,3
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,1,3
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,1,0,3
SS,SSc4.4,Alternative transportation - parking capacity,cred,1,1,3
SS,SSc5.1,Site development - protect or restore habitat,cred,1,0,3
SS,SSc5.2,Site development - maximize open space,cred,1,1,3
SS,SSc6.1,Stormwater design - quantity control,cred,1,0,3
SS,SSc6.2,Stormwater design - quality control,cred,1,1,3
SS,SSc7.1,Heat island effect - non-roof,cred,1,1,3
SS,SSc7.2,Heat island effect - roof,cred,1,0,3
SS,SSc8,Light pollution reduction,cred,1,1,3
WE,WE,Water Efficiency,cat,5,4,3
WE,WEc1.1,Water efficient landscaping - reduce by 50%,cred,1,1,3
WE,WEc1.2,Water efficient landscaping - no potable water use or no irrigation,cred,1,1,3
WE,WEc2,Innovative wastewater technologies,cred,1,0,3
WE,WEc3.1,Water use reduction - 20% reduction,cred,1,1,3
WE,WEc3.2,Water use reduction - 30% reduction,cred,1,1,3
EA,EA,Energy and atmosphere,cat,17,9,3
EA,EAp1,Fundamental commissioning of the building energy systems,prereq,0,0,3
EA,EAp2,Minimum energy performance,prereq,0,0,3
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,3
EA,EAc1,Optimize energy performance,cred,10,7,3
EA,EAc2,On-site renewable energy,cred,3,0,3
EA,EAc3,Enhanced commissioning,cred,1,1,3
EA,EAc4,Enhaned refrigerant Mgmt,cred,1,1,3
EA,EAc5,Measurement and verification,cred,1,0,3
EA,EAc6,Green power,cred,1,0,3
MR,MR,Material and Resources,cat,13,0,3
MR,MRp1,Storage and collection of recyclables,prereq,0,0,3
MR,MRc1.1,"Bulding reuse - maintain 75% of existing walls, floors, and roof",cred,1,0,3
MR,MRc1.2,"Building reuse - maintain 95% of existing walls, floors, and roof",cred,1,0,3
MR,MRc1.3,Building reuse - maintain 50% of interior non-structural elements,cred,1,0,3
MR,MRc2.1,Construction waste Mgmt - divert 50% from disposal,cred,1,1,3
MR,MRc2.2,Construction waste Mgmt - divert 75% from disposal,cred,1,1,3
MR,MRc3.1,Materials reuse - 5%,cred,1,0,3
MR,MRc3.2,Materials reuse - 10%,cred,1,0,3
MR,MRc4.1,Recycled content - 10% (post-consumer + 1/2 pre-consumer),cred,1,0,3
MR,MRc4.2,Recycled content - 20% (post-consumer + 1/2 pre-consumer),cred,1,0,3
MR,MRc5.1,"Regional materials - 10% extracted, processed, and manufactured regiona...",cred,1,1,3
MR,MRc5.2,"Regional materials - 20% extracted, processed, and manufactured regiona...",cred,1,1,3
MR,MRc6,Rapidly renewable materials,cred,1,0,3
MR,MRc7,Certified wood,cred,1,1,3
EQ,EQ,Indoor Environmental Quality,cat,15,13,3
EQ,EQp1,Minimum IAQ performance,prereq,0,0,3
EQ,EQp2,Environmental Tobacco Smoke (ETS) control,prereq,0,0,3
EQ,EQc1 ,Outdoor air delivery monitoring,cred,1,1,3
EQ,EQc2 ,Increased ventilation,cred,1,1,3
EQ,EQc3.1,Construction IAQ Mgmt plan - during contruction,cred,1,1,3
EQ,EQc3.2,Construction IAQ Mgmt plan - before occupancy,cred,1,0,3
EQ,EQc4.1,Low-emitting materials - adhesives and sealants,cred,1,1,3
EQ,EQc4.2,Low-emitting materials - paints and coatings,cred,1,1,3
EQ,EQc4.3,Low-emitting materials - carpet systems,cred,1,1,3
EQ,EQc4.4,Low-emitting materials - composite wood and agrifiber products,cred,1,0,3
EQ,EQc5,Indoor chemical and pollutant source control,cred,1,1,3
EQ,EQc6.1,Controllability of systems - lighting,cred,1,1,3
EQ,EQc6.2,Controllability of systems - thermal comfort,cred,1,1,3
EQ,EQc7.1 ,Thermal comfort - design,cred,1,1,3
EQ,EQc7.2,Thermal comfort - verification,cred,1,1,3
EQ,EQc8.1 ,Daylight and views - daylight 75% of spaces,cred,1,1,3
EQ,EQc8.2,Daylight and views - daylight 90% of spaces,cred,1,1,3
ID,ID,Innovation,cat,6,2,3
ID,IDc1,Innovation in design,cred,4,1,3
ID,IDc2,LEED Accredited Professional,cred,1,1,3
TO,TO,Total,cat,69,42,3
SS,SS,Sustainable sites,cat,26,18,15
SS,SSp1,Construction activity pollution prevention,prereq,0,0,15
SS,SSc1,Site selection,cred,1,1,15
SS,SSc2,Development density and communnity connectivity,cred,5,5,15
SS,SSc3,Brownfield redevlopment,cred,1,0,15
SS,SSc4.1,Alternative transportation - public transportation access,cred,6,6,15
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,0,15
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,3,3,15
SS,SSc4.4,Alternative transporation - parking capacity,cred,2,2,15
SS,SSc5.1,Site development - protect or restore habitat,cred,1,0,15
SS,SSc5.2 ,Site development - maximize open space,cred,1,1,15
SS,SSc6.1 ,Stormwater design - quantity control,cred,1,0,15
SS,SSc6.2,Stormwater design - quality control,cred,1,0,15
SS,SSc7.1 ,Heat island effect - nonroof,cred,1,0,15
SS,SSc7.2,Heat island effect - roof,cred,1,0,15
SS,SSc8,Light pollution reduction,cred,1,0,15
WE,WE,Water efficiency,cat,10,6,15
WE,WEp1,Water use reduction,prereq,0,0,15
WE,WEc1,Water efficient landscaping,cred,4,4,15
WE,WEc2,Innovative wastewater technologies,cred,2,0,15
WE,WEc3,Water use reduction,cred,4,2,15
EA,EA,Energy and Atmosphere,cat,53,5,15
EA,EAp1,Fundamental commissioning of building energy systems,prereq,0,0,15
EA,EAp2,Minimum energy performance,prereq,0,0,15
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,15
EA,EAc1,Optimize energy performance,cred,19,1,15
EA,EAc2,On-site renewable energy,cred,7,0,15
EA,EAc3,Enhanced commissioning,cred,2,2,15
EA,EAc4,Enhanced refrigerant Mgmt,cred,2,0,15
EA,EAc5,Measurement and verification,cred,3,0,15
EA,EAc6,Green power,cred,2,2,15
EA,EAp4,Energy performance metering path,prereq,0,0,15
MR,MR,Material and Resources,cat,14,5,15
MR,MRp1,Storage and collection of recyclables,prereq,0,0,15
MR,MRc1.1,"Building reuse - maintain existing walls, floors, and roof",cred,3,0,15
MR,MRc1.2,Building reuse - maintain interior nonstructural element,cred,1,0,15
MR,MRc2,Construction waste Mgmt,cred,2,1,15
MR,MRc3,Materials reuse,cred,2,0,15
MR,MRc4,Recycled content,cred,2,2,15
MR,MRc5 ,Regional materials,cred,2,2,15
MR,MRc6,Rapidly renewable materials,cred,1,0,15
MR,MRc7,Certified wood,cred,1,0,15
EQ,EQ,Indoor Environmental Quality,cat,15,9,15
EQ,EQp1,Minimum IAQ performance,prereq,0,0,15
EQ,EQp2,Environmental Tobacco Smoke (ETS) control,prereq,0,0,15
EQ,EQc1,Outdoor air delivery monitoring,cred,1,1,15
EQ,EQc2,Increased ventilation,cred,1,0,15
EQ,EQc3.1,Construction IAQ Mgmt plan - during contruction,cred,1,1,15
EQ,EQc3.2,Construction IAQ Mgmt plan - before occupancy,cred,1,0,15
EQ,EQc4.1,Low-emitting materials - adhesives and sealants,cred,1,1,15
EQ,EQc4.2,Low-emitting materials - adhesives and sealants,cred,1,1,15
EQ,EQc4.3,Low-emitting materials - flooring systems,cred,1,1,15
EQ,EQc4.4,Low-emitting materials - composite wood and agrifiber products,cred,1,1,15
EQ,EQc5,Indoor chemical and pollutant source control,cred,1,0,15
EQ,EQc6.1,Controllability of systems - lighting,cred,1,1,15
EQ,EQc6.2,Controllability of systems - thermal comfort,cred,1,0,15
EQ,EQc7.1,Thermal comfort - design,cred,1,1,15
EQ,EQc7.2,Thermal comfort - verification,cred,1,1,15
EQ,EQc8.1,Daylight and views - daylight,cred,1,0,15
EQ,EQc8.2,Daylight and views - views,cred,1,0,15
ID,ID,Innovation,cat,6,5,15
ID,IDc1,Innovation in design,cred,5,4,15
ID,IDc2,LEED Accredited Professional,cred,1,1,15
RP,RP,Regional Priority Credits,cat,4,2,15
RP,EAc2,On-site renewable energy,cred,1,0,15
RP,SSc4.4,Alternative transportation - parking capacity,cred,1,1,15
RP,SSc6.1,Stormwater design - quantity control,cred,1,0,15
RP,WEc1,Water efficient landscaping,cred,1,1,15
RP,WEc2,Innovative wastewater technologies,cred,1,0,15
RP,WEc3,Water use reduction,cred,1,0,15
TO,TO,Total,cat,110,50,15
SS,SS,Sustainable sites,cat,26,19,14
SS,SSp1,Construction activity pollution prevention,prereq,0,0,14
SS,SSc1,Site selection,cred,1,1,14
SS,SSc2,Development density and communnity connectivity,cred,5,5,14
SS,SSc3,Brownfield redevlopment,cred,1,0,14
SS,SSc4.1,Alternative transportation - public transportation access,cred,6,6,14
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,1,14
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,3,3,14
SS,SSc4.4,Alternative transporation - parking capacity,cred,2,0,14
SS,SSc5.1,Site development - protect or restore habitat,cred,1,0,14
SS,SSc5.2 ,Site development - maximize open space,cred,1,1,14
SS,SSc6.1 ,Stormwater design - quantity control,cred,1,1,14
SS,SSc6.2,Stormwater design - quality control,cred,1,0,14
SS,SSc7.1 ,Heat island effect - nonroof,cred,1,0,14
SS,SSc7.2,Heat island effect - roof,cred,1,1,14
SS,SSc8,Light pollution reduction,cred,1,0,14
WE,WE,Water efficiency,cat,10,6,14
WE,WEp1,Water use reduction,prereq,0,0,14
WE,WEc1,Water efficient landscaping,cred,4,4,14
WE,WEc2,Innovative wastewater technologies,cred,2,0,14
WE,WEc3,Water use reduction,cred,4,2,14
EA,EA,Energy and Atmosphere,cat,53,19,14
EA,EAp1,Fundamental commissioning of building energy systems,prereq,0,0,14
EA,EAp2,Minimum energy performance,prereq,0,0,14
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,14
EA,EAc1,Optimize energy performance,cred,19,14,14
EA,EAc2,On-site renewable energy,cred,7,0,14
EA,EAc3,Enhanced commissioning,cred,2,2,14
EA,EAc4,Enhanced refrigerant Mgmt,cred,2,2,14
EA,EAc5,Measurement and verification,cred,3,1,14
EA,EAc6,Green power,cred,2,0,14
EA,EAp4,Energy performance metering path,prereq,0,0,14
MR,MR,Material and Resources,cat,14,6,14
MR,MRp1,Storage and collection of recyclables,prereq,0,0,14
MR,MRc1.1,"Building reuse - maintain existing walls, floors, and roof",cred,3,0,14
MR,MRc1.2,Building reuse - maintain interior nonstructural element,cred,1,0,14
MR,MRc2,Construction waste Mgmt,cred,2,2,14
MR,MRc3,Materials reuse,cred,2,0,14
MR,MRc4,Recycled content,cred,2,2,14
MR,MRc5 ,Regional materials,cred,2,2,14
MR,MRc6,Rapidly renewable materials,cred,1,0,14
MR,MRc7,Certified wood,cred,1,0,14
EQ,EQ,Indoor Environmental Quality,cat,15,13,14
EQ,EQp1,Minimum IAQ performance,prereq,0,0,14
EQ,EQp2,Environmental Tobacco Smoke (ETS) control,prereq,0,0,14
EQ,EQc1,Outdoor air delivery monitoring,cred,1,1,14
EQ,EQc2,Increased ventilation,cred,1,1,14
EQ,EQc3.1,Construction IAQ Mgmt plan - during contruction,cred,1,1,14
EQ,EQc3.2,Construction IAQ Mgmt plan - before occupancy,cred,1,1,14
EQ,EQc4.1,Low-emitting materials - adhesives and sealants,cred,1,1,14
EQ,EQc4.2,Low-emitting materials - adhesives and sealants,cred,1,1,14
EQ,EQc4.3,Low-emitting materials - flooring systems,cred,1,1,14
EQ,EQc4.4,Low-emitting materials - composite wood and agrifiber products,cred,1,0,14
EQ,EQc5,Indoor chemical and pollutant source control,cred,1,1,14
EQ,EQc6.1,Controllability of systems - lighting,cred,1,1,14
EQ,EQc6.2,Controllability of systems - thermal comfort,cred,1,1,14
EQ,EQc7.1,Thermal comfort - design,cred,1,1,14
EQ,EQc7.2,Thermal comfort - verification,cred,1,1,14
EQ,EQc8.1,Daylight and views - daylight,cred,1,0,14
EQ,EQc8.2,Daylight and views - views,cred,1,1,14
ID,ID,Innovation,cat,6,4,14
ID,IDc1,Innovation in design,cred,5,3,14
ID,IDc2,LEED Accredited Professional,cred,1,1,14
RP,RP,Regional Priority Credits,cat,4,2,14
RP,SSc4.4,Alternative transportation - parking capacity,cred,1,0,14
RP,SSc6.1,Stormwater design - quantity control,cred,1,1,14
RP,WEc1,Water efficient landscaping,cred,1,1,14
RP,WEc3,Water use reduction,cred,1,0,14
TO,TO,Total,cat,110,69,14
SS,SS,Sustainable sites,cat,26,17,12
SS,SSp1,Construction activity pollution prevention,prereq,0,0,12
SS,SSc1,Site selection,cred,1,1,12
SS,SSc2,Development density and communnity connectivity,cred,5,5,12
SS,SSc3,Brownfield redevlopment,cred,1,1,12
SS,SSc4.1,Alternative transportation - public transportation access,cred,6,6,12
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,1,12
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,3,0,12
SS,SSc4.4,Alternative transporation - parking capacity,cred,2,2,12
SS,SSc5.1,Site development - protect or restore habitat,cred,1,0,12
SS,SSc5.2 ,Site development - maximize open space,cred,1,0,12
SS,SSc6.1 ,Stormwater design - quantity control,cred,1,0,12
SS,SSc6.2,Stormwater design - quality control,cred,1,0,12
SS,SSc7.1 ,Heat island effect - nonroof,cred,1,0,12
SS,SSc7.2,Heat island effect - roof,cred,1,1,12
SS,SSc8,Light pollution reduction,cred,1,0,12
WE,WE,Water efficiency,cat,10,7,12
WE,WEp1,Water use reduction,prereq,0,0,12
WE,WEc1,Water efficient landscaping,cred,4,4,12
WE,WEc2,Innovative wastewater technologies,cred,2,0,12
WE,WEc3,Water use reduction,cred,4,3,12
EA,EA,Energy and Atmosphere,cat,53,12,12
EA,EAp1,Fundamental commissioning of building energy systems,prereq,0,0,12
EA,EAp2,Minimum energy performance,prereq,0,0,12
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,12
EA,EAc1,Optimize energy performance,cred,19,7,12
EA,EAc2,On-site renewable energy,cred,7,0,12
