group,cat_code,cat,type,potential_points,awarded_points,building_code,building_name,leed_version,points_earned,cat_and_cat_name
ID,IDc1,Innovation in design,cred,4,4,6,Tucker Hall,2.2,4/4,IDc1 - Innovation in design
ID,IDc2,LEED Accredited Professional,cred,1,1,6,Tucker Hall,2.2,1/1,IDc2 - LEED Accredited Professional
TO,TO,Total,cat,69,40,6,Tucker Hall,2.2,40/69,TO - Total
SS,SS,Sustainable sites,cat,14,10,5,School of Education,2.2,10/14,SS - Sustainable sites
SS,SSp1,Construction activity pollution prevention,prereq,0,0,5,School of Education,2.2,prerequisite,SSp1 - Construction activity pollution prevention
SS,SSc1,Site selection,cred,1,1,5,School of Education,2.2,1/1,SSc1 - Site selection
SS,SSc2,Development density and community connectivity ,cred,1,1,5,School of Education,2.2,1/1,SSc2 - Development density and community connectivity 
SS,SSc3,Brownfield redevelopment,cred,1,1,5,School of Education,2.2,1/1,SSc3 - Brownfield redevelopment
SS,SSc4.1,Alternative transportation - public transportation access,cred,1,1,5,School of Education,2.2,1/1,SSc4.1 - Alternative transportation - public transportation access
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,1,5,School of Education,2.2,1/1,SSc4.2 - Alternative transportation - bicycle storage and changing rooms
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,1,1,5,School of Education,2.2,1/1,SSc4.3 - Alternative transportation - low emitting and fuel efficient vehicles
SS,SSc4.4,Alternative transportation - parking capacity,cred,1,1,5,School of Education,2.2,1/1,SSc4.4 - Alternative transportation - parking capacity
SS,SSc5.1,Site development - protect or restore habitat,cred,1,0,5,School of Education,2.2,0/1,SSc5.1 - Site development - protect or restore habitat
SS,SSc5.2,Site development - maximize open space,cred,1,1,5,School of Education,2.2,1/1,SSc5.2 - Site development - maximize open space
SS,SSc6.1,Stormwater design - quantity control,cred,1,1,5,School of Education,2.2,1/1,SSc6.1 - Stormwater design - quantity control
SS,SSc6.2,Stormwater design - quality control,cred,1,1,5,School of Education,2.2,1/1,SSc6.2 - Stormwater design - quality control
SS,SSc7.1,Heat island effect - non-roof,cred,1,0,5,School of Education,2.2,0/1,SSc7.1 - Heat island effect - non-roof
SS,SSc7.2,Heat island effect - roof,cred,1,0,5,School of Education,2.2,0/1,SSc7.2 - Heat island effect - roof
SS,SSc8,Light pollution reduction,cred,1,0,5,School of Education,2.2,0/1,SSc8 - Light pollution reduction
WE,WE,Water Efficiency,cat,5,2,5,School of Education,2.2,2/5,WE - Water Efficiency
WE,WEc1.1,Water efficient landscaping - reduce by 50%,cred,1,0,5,School of Education,2.2,0/1,WEc1.1 - Water efficient landscaping - reduce by 50%
WE,WEc1.2,Water efficient landscaping - no potable water use or no irrigation,cred,1,0,5,School of Education,2.2,0/1,WEc1.2 - Water efficient landscaping - no potable water use or no irrigation
WE,WEc2,Innovative wastewater technologies,cred,1,0,5,School of Education,2.2,0/1,WEc2 - Innovative wastewater technologies
WE,WEc3.1,Water use reduction - 20% reduction,cred,1,1,5,School of Education,2.2,1/1,WEc3.1 - Water use reduction - 20% reduction
WE,WEc3.2,Water use reduction - 30% reduction,cred,1,1,5,School of Education,2.2,1/1,WEc3.2 - Water use reduction - 30% reduction
EA,EA,Energy and atmosphere,cat,17,4,5,School of Education,2.2,4/17,EA - Energy and atmosphere
EA,EAp1,Fundamental commissioning of the building energy systems,prereq,0,0,5,School of Education,2.2,prerequisite,EAp1 - Fundamental commissioning of the building energy systems
EA,EAp2,Minimum energy performance,prereq,0,0,5,School of Education,2.2,prerequisite,EAp2 - Minimum energy performance
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,5,School of Education,2.2,prerequisite,EAp3 - Fundamental refrigerant Mgmt
EA,EAc1,Optimize energy performance,cred,10,2,5,School of Education,2.2,2/10,EAc1 - Optimize energy performance
EA,EAc2,On-site renewable energy,cred,3,0,5,School of Education,2.2,0/3,EAc2 - On-site renewable energy
EA,EAc3,Enhanced commissioning,cred,1,1,5,School of Education,2.2,1/1,EAc3 - Enhanced commissioning
EA,EAc4,Enhaned refrigerant Mgmt,cred,1,0,5,School of Education,2.2,0/1,EAc4 - Enhaned refrigerant Mgmt
EA,EAc5,Measurement and verification,cred,1,0,5,School of Education,2.2,0/1,EAc5 - Measurement and verification
EA,EAc6,Green power,cred,1,1,5,School of Education,2.2,1/1,EAc6 - Green power
MR,MR,Material and Resources,cat,13,7,5,School of Education,2.2,7/13,MR - Material and Resources
MR,MRp1,Storage and collection of recyclables,prereq,0,0,5,School of Education,2.2,prerequisite,MRp1 - Storage and collection of recyclables
MR,MRc1.1,"Bulding reuse - maintain 75% of existing walls, floors, and roof",cred,1,0,5,School of Education,2.2,0/1,"MRc1.1 - Bulding reuse - maintain 75% of existing walls, floors, and roof"
MR,MRc1.2,"Building reuse - maintain 95% of existing walls, floors, and roof",cred,1,0,5,School of Education,2.2,0/1,"MRc1.2 - Building reuse - maintain 95% of existing walls, floors, and roof"
MR,MRc1.3,Building reuse - maintain 50% of interior non-structural elements,cred,1,0,5,School of Education,2.2,0/1,MRc1.3 - Building reuse - maintain 50% of interior non-structural elements
MR,MRc2.1,Construction waste Mgmt - divert 50% from disposal,cred,1,1,5,School of Education,2.2,1/1,MRc2.1 - Construction waste Mgmt - divert 50% from disposal
MR,MRc2.2,Construction waste Mgmt - divert 75% from disposal,cred,1,1,5,School of Education,2.2,1/1,MRc2.2 - Construction waste Mgmt - divert 75% from disposal
MR,MRc3.1,Materials reuse - 5%,cred,1,0,5,School of Education,2.2,0/1,MRc3.1 - Materials reuse - 5%
MR,MRc3.2,Materials reuse - 10%,cred,1,0,5,School of Education,2.2,0/1,MRc3.2 - Materials reuse - 10%
MR,MRc4.1,Recycled content - 10% (post-consumer + 1/2 pre-consumer),cred,1,2,5,School of Education,2.2,2/1,MRc4.1 - Recycled content - 10% (post-consumer + 1/2 pre-consumer)
MR,MRc4.2,Recycled content - 20% (post-consumer + 1/2 pre-consumer),cred,1,0,5,School of Education,2.2,0/1,MRc4.2 - Recycled content - 20% (post-consumer + 1/2 pre-consumer)
MR,MRc5.1,"Regional materials - 10% extracted, processed, and manufactured regiona...",cred,1,1,5,School of Education,2.2,1/1,"MRc5.1 - Regional materials - 10% extracted, processed, and manufactured regiona..."
MR,MRc5.2,"Regional materials - 20% extracted, processed, and manufactured regiona...",cred,1,1,5,School of Education,2.2,1/1,"MRc5.2 - Regional materials - 20% extracted, processed, and manufactured regiona..."
MR,MRc6,Rapidly renewable materials,cred,1,0,5,School of Education,2.2,0/1,MRc6 - Rapidly renewable materials
MR,MRc7,Certified wood,cred,1,1,5,School of Education,2.2,1/1,MRc7 - Certified wood
EQ,EQ,Indoor Environmental Quality,cat,15,11,5,School of Education,2.2,11/15,EQ - Indoor Environmental Quality
EQ,EQp1,Minimum IAQ performance,prereq,0,0,5,School of Education,2.2,prerequisite,EQp1 - Minimum IAQ performance
EQ,EQp2,Environmental Tobacco Smoke (ETS) control,prereq,0,0,5,School of Education,2.2,prerequisite,EQp2 - Environmental Tobacco Smoke (ETS) control
EQ,EQc1 ,Outdoor air delivery monitoring,cred,1,1,5,School of Education,2.2,1/1,EQc1  - Outdoor air delivery monitoring
EQ,EQc2 ,Increased ventilation,cred,1,0,5,School of Education,2.2,0/1,EQc2  - Increased ventilation
EQ,EQc3.1,Construction IAQ Mgmt plan - during contruction,cred,1,1,5,School of Education,2.2,1/1,EQc3.1 - Construction IAQ Mgmt plan - during contruction
EQ,EQc3.2,Construction IAQ Mgmt plan - before occupancy,cred,1,1,5,School of Education,2.2,1/1,EQc3.2 - Construction IAQ Mgmt plan - before occupancy
EQ,EQc4.1,Low-emitting materials - adhesives and sealants,cred,1,1,5,School of Education,2.2,1/1,EQc4.1 - Low-emitting materials - adhesives and sealants
EQ,EQc4.2,Low-emitting materials - paints and coatings,cred,1,1,5,School of Education,2.2,1/1,EQc4.2 - Low-emitting materials - paints and coatings
EQ,EQc4.3,Low-emitting materials - carpet systems,cred,1,1,5,School of Education,2.2,1/1,EQc4.3 - Low-emitting materials - carpet systems
EQ,EQc4.4,Low-emitting materials - composite wood and agrifiber products,cred,1,1,5,School of Education,2.2,1/1,EQc4.4 - Low-emitting materials - composite wood and agrifiber products
EQ,EQc5,Indoor chemical and pollutant source control,cred,1,0,5,School of Education,2.2,0/1,EQc5 - Indoor chemical and pollutant source control
EQ,EQc6.1,Controllability of systems - lighting,cred,1,1,5,School of Education,2.2,1/1,EQc6.1 - Controllability of systems - lighting
EQ,EQc6.2,Controllability of systems - thermal comfort,cred,1,1,5,School of Education,2.2,1/1,EQc6.2 - Controllability of systems - thermal comfort
EQ,EQc7.1 ,Thermal comfort - design,cred,1,1,5,School of Education,2.2,1/1,EQc7.1  - Thermal comfort - design
EQ,EQc7.2,Thermal comfort - verification,cred,1,1,5,School of Education,2.2,1/1,EQc7.2 - Thermal comfort - verification
EQ,EQc8.1 ,Daylight and views - daylight 75% of spaces,cred,1,0,5,School of Education,2.2,0/1,EQc8.1  - Daylight and views - daylight 75% of spaces
EQ,EQc8.2,Daylight and views - daylight 90% of spaces,cred,1,0,5,School of Education,2.2,0/1,EQc8.2 - Daylight and views - daylight 90% of spaces
ID,ID,Innovation,cat,6,5,5,School of Education,2.2,5/6,ID - Innovation
ID,IDc1,Innovation in design,cred,4,4,5,School of Education,2.2,4/4,IDc1 - Innovation in design
ID,IDc2,LEED Accredited Professional,cred,1,1,5,School of Education,2.2,1/1,IDc2 - LEED Accredited Professional
TO,TO,Total,cat,69,39,5,School of Education,2.2,39/69,TO - Total
SS,SS,Sustainable sites,cat,14,10,4,Miller Hall (Mason School of Business,2.2,10/14,SS - Sustainable sites
SS,SSp1,Construction activity pollution prevention,prereq,0,0,4,Miller Hall (Mason School of Business,2.2,prerequisite,SSp1 - Construction activity pollution prevention
SS,SSc1,Site selection,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc1 - Site selection
SS,SSc2,Development density and community connectivity ,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc2 - Development density and community connectivity 
SS,SSc3,Brownfield redevelopment,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,SSc3 - Brownfield redevelopment
SS,SSc4.1,Alternative transportation - public transportation access,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc4.1 - Alternative transportation - public transportation access
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc4.2 - Alternative transportation - bicycle storage and changing rooms
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc4.3 - Alternative transportation - low emitting and fuel efficient vehicles
SS,SSc4.4,Alternative transportation - parking capacity,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc4.4 - Alternative transportation - parking capacity
SS,SSc5.1,Site development - protect or restore habitat,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc5.1 - Site development - protect or restore habitat
SS,SSc5.2,Site development - maximize open space,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc5.2 - Site development - maximize open space
SS,SSc6.1,Stormwater design - quantity control,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc6.1 - Stormwater design - quantity control
SS,SSc6.2,Stormwater design - quality control,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,SSc6.2 - Stormwater design - quality control
SS,SSc7.1,Heat island effect - non-roof,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,SSc7.1 - Heat island effect - non-roof
SS,SSc7.2,Heat island effect - roof,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,SSc7.2 - Heat island effect - roof
SS,SSc8,Light pollution reduction,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,SSc8 - Light pollution reduction
WE,WE,Water Efficiency,cat,5,4,4,Miller Hall (Mason School of Business,2.2,4/5,WE - Water Efficiency
WE,WEc1.1,Water efficient landscaping - reduce by 50%,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,WEc1.1 - Water efficient landscaping - reduce by 50%
WE,WEc1.2,Water efficient landscaping - no potable water use or no irrigation,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,WEc1.2 - Water efficient landscaping - no potable water use or no irrigation
WE,WEc2,Innovative wastewater technologies,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,WEc2 - Innovative wastewater technologies
WE,WEc3.1,Water use reduction - 20% reduction,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,WEc3.1 - Water use reduction - 20% reduction
WE,WEc3.2,Water use reduction - 30% reduction,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,WEc3.2 - Water use reduction - 30% reduction
EA,EA,Energy and atmosphere,cat,17,6,4,Miller Hall (Mason School of Business,2.2,6/17,EA - Energy and atmosphere
EA,EAp1,Fundamental commissioning of the building energy systems,prereq,0,0,4,Miller Hall (Mason School of Business,2.2,prerequisite,EAp1 - Fundamental commissioning of the building energy systems
EA,EAp2,Minimum energy performance,prereq,0,0,4,Miller Hall (Mason School of Business,2.2,prerequisite,EAp2 - Minimum energy performance
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,4,Miller Hall (Mason School of Business,2.2,prerequisite,EAp3 - Fundamental refrigerant Mgmt
EA,EAc1,Optimize energy performance,cred,10,4,4,Miller Hall (Mason School of Business,2.2,4/10,EAc1 - Optimize energy performance
EA,EAc2,On-site renewable energy,cred,3,0,4,Miller Hall (Mason School of Business,2.2,0/3,EAc2 - On-site renewable energy
EA,EAc3,Enhanced commissioning,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,EAc3 - Enhanced commissioning
EA,EAc4,Enhaned refrigerant Mgmt,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,EAc4 - Enhaned refrigerant Mgmt
EA,EAc5,Measurement and verification,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,EAc5 - Measurement and verification
EA,EAc6,Green power,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,EAc6 - Green power
MR,MR,Material and Resources,cat,13,7,4,Miller Hall (Mason School of Business,2.2,7/13,MR - Material and Resources
MR,MRp1,Storage and collection of recyclables,prereq,0,0,4,Miller Hall (Mason School of Business,2.2,prerequisite,MRp1 - Storage and collection of recyclables
MR,MRc1.1,"Bulding reuse - maintain 75% of existing walls, floors, and roof",cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,"MRc1.1 - Bulding reuse - maintain 75% of existing walls, floors, and roof"
MR,MRc1.2,"Building reuse - maintain 95% of existing walls, floors, and roof",cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,"MRc1.2 - Building reuse - maintain 95% of existing walls, floors, and roof"
MR,MRc1.3,Building reuse - maintain 50% of interior non-structural elements,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,MRc1.3 - Building reuse - maintain 50% of interior non-structural elements
MR,MRc2.1,Construction waste Mgmt - divert 50% from disposal,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,MRc2.1 - Construction waste Mgmt - divert 50% from disposal
MR,MRc2.2,Construction waste Mgmt - divert 75% from disposal,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,MRc2.2 - Construction waste Mgmt - divert 75% from disposal
MR,MRc3.1,Materials reuse - 5%,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,MRc3.1 - Materials reuse - 5%
MR,MRc3.2,Materials reuse - 10%,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,MRc3.2 - Materials reuse - 10%
MR,MRc4.1,Recycled content - 10% (post-consumer + 1/2 pre-consumer),cred,1,2,4,Miller Hall (Mason School of Business,2.2,2/1,MRc4.1 - Recycled content - 10% (post-consumer + 1/2 pre-consumer)
MR,MRc4.2,Recycled content - 20% (post-consumer + 1/2 pre-consumer),cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,MRc4.2 - Recycled content - 20% (post-consumer + 1/2 pre-consumer)
MR,MRc5.1,"Regional materials - 10% extracted, processed, and manufactured regiona...",cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,"MRc5.1 - Regional materials - 10% extracted, processed, and manufactured regiona..."
MR,MRc5.2,"Regional materials - 20% extracted, processed, and manufactured regiona...",cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,"MRc5.2 - Regional materials - 20% extracted, processed, and manufactured regiona..."
MR,MRc6,Rapidly renewable materials,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,MRc6 - Rapidly renewable materials
MR,MRc7,Certified wood,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,MRc7 - Certified wood
EQ,EQ,Indoor Environmental Quality,cat,15,11,4,Miller Hall (Mason School of Business,2.2,11/15,EQ - Indoor Environmental Quality
EQ,EQp1,Minimum IAQ performance,prereq,0,0,4,Miller Hall (Mason School of Business,2.2,prerequisite,EQp1 - Minimum IAQ performance
EQ,EQp2,Environmental Tobacco Smoke (ETS) control,prereq,0,0,4,Miller Hall (Mason School of Business,2.2,prerequisite,EQp2 - Environmental Tobacco Smoke (ETS) control
EQ,EQc1 ,Outdoor air delivery monitoring,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,EQc1  - Outdoor air delivery monitoring
EQ,EQc2 ,Increased ventilation,cred,1,0,4,Miller Hall (Mason School of Business,2.2,0/1,EQc2  - Increased ventilation
EQ,EQc3.1,Construction IAQ Mgmt plan - during contruction,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,EQc3.1 - Construction IAQ Mgmt plan - during contruction
EQ,EQc3.2,Construction IAQ Mgmt plan - before occupancy,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,EQc3.2 - Construction IAQ Mgmt plan - before occupancy
EQ,EQc4.1,Low-emitting materials - adhesives and sealants,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,EQc4.1 - Low-emitting materials - adhesives and sealants
EQ,EQc4.2,Low-emitting materials - paints and coatings,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,EQc4.2 - Low-emitting materials - paints and coatings
EQ,EQc4.3,Low-emitting materials - carpet systems,cred,1,1,4,Miller Hall (Mason School of Business,2.2,1/1,EQc4.3 - Low-emitting materials - carpet systems
